score,coverage,variants_used,variants_total,variants_flipped,variants_ambiguous,trait,trait_efo
PGS000785,0.9805825242718447,101,103,0,0,Colorectal cancer,EFO_0005842
PGS000786,1.0,9,9,0,0,Endometrial cancer,EFO_1001512
PGS000787,0.8421052631578947,16,19,0,0,Kidney cancer,EFO_0000681
PGS000788,0.92,69,75,0,0,Lymphocytic leukemiaaa,EFO_0004289
PGS000789,0.9908256880733946,108,109,0,0,Lung cancer,EFO_0001071
PGS000790,0.9166666666666666,22,24,0,0,Melanoma,EFO_0000756
PGS000791,0.9473684210526315,18,19,0,0,Non-Hodgkin's lymphoma,EFO_0005952
PGS000792,0.7142857142857143,10,14,0,0,Oral cavity and pharyngeal cancers,EFO_0005577
PGS000793,0.9722222222222222,35,36,0,0,Ovarian cancer,EFO_0001075
PGS000794,1.0,22,22,0,0,Pancreatic cancer,EFO_0002618
PGS000795,0.9440993788819876,152,161,0,0,Prostate cancer,EFO_0001663
PGS000796,0.9615384615384616,50,52,0,0,Testicular cancer,EFO_0005088
PGS000797,0.9166666666666666,11,12,0,0,Thyroid cancer,EFO_0002892
PGS000798,1.0,157,157,0,0,Coronary heart disease,EFO_0001645
PGS000799,0.6363636363636364,14,22,0,0,Asthma,MONDO_0004979
PGS000800,0.7819548872180451,104,133,0,0,Allergic disease,MONDO_0005271
PGS000801,1.0,40,40,0,0,Colorectal cancer,EFO_0005842
PGS000802,0.0,0,19,0,0,Colorectal cancer,EFO_0005842
PGS000803,1.0,41,41,0,0,Systemic lupus erythematosus,MONDO_0007915
PGS000804,1.0,582,582,0,0,Type 2 diabetes,MONDO_0005148
PGS000805,1.0,582,582,0,0,Type 2 diabetes,MONDO_0005148
PGS000806,1.0,582,582,0,0,Type 2 diabetes,MONDO_0005148
PGS000807,1.0,582,582,0,0,Type 2 diabetes,MONDO_0005148
PGS000808,1.0,582,582,0,0,Type 2 diabetes,MONDO_0005148
PGS000809,0.5748031496062992,73,127,0,0,Multiple sclerosis,MONDO_0005301
PGS000810,1.0,136,136,0,0,Allergic disease (asthma  hay fever or eczema),MONDO_0005271
PGS000811,0.4358974358974359,17,39,0,0,Alzheimer's disease,MONDO_0004975
PGS000812,0.7368421052631579,42,57,0,0,Alzheimer's disease,MONDO_0004975
PGS000813,0.9782608695652174,45,46,0,0,melanoma,EFO_0000756
PGS000815,0.9896551724137931,287,290,0,0,Alkaline phosphatase,EFO_0004533
PGS000816,0.9866666666666667,148,150,0,0,Alanine transaminase,EFO_0004735
PGS000817,1.0,200,200,0,0,Gamma-glutamyl transferase,EFO_0004532
PGS000818,1.0,138,138,0,0,Coronary heart disease,EFO_0001645
PGS000819,1.0,3537914,3537914,0,0,Diabetic retinopathy,EFO_0003770
PGS000820,1.0,890908,890908,0,0,Hypothyroidism (self-reported),EFO_0004705
PGS000821,1.0,872391,872391,0,0,Thyroid medication use,EFO_0009933
PGS000822,0.9830508474576272,58,59,0,0,Urinary albumin to creatinine ratio,EFO_0007778
PGS000823,0.9130434782608695,21,23,0,0,Alzheimer's disease,MONDO_0004975
PGS000824,0.9888751545117429,800,809,0,0,Low-density lipoprotein cholesterol,EFO_0004611
PGS000825,0.9932049830124575,877,883,0,0,High-density lipoprotein cholesterol,EFO_0004612
PGS000826,0.9791937581274383,753,769,0,0,Triglycerides,EFO_0004530
PGS000827,1.0,113,113,0,0,Waist circumference (male),EFO_0004342
PGS000828,1.0,149,149,0,0,Waist circumference (female),EFO_0004342
PGS000829,0.993103448275862,288,290,0,0,Body mass index (male),EFO_0004340
PGS000830,0.9946236559139785,370,372,0,0,Body mass index (female),EFO_0004340
PGS000831,0.9854651162790697,1017,1032,0,0,Total cholesterol,EFO_0004574
PGS000832,0.8046875,309,384,0,0,Type 2 diabetes,MONDO_0005148
PGS000834,0.7772727272727272,171,220,0,0,Corrected insulin response (at 30mins during OGTT),EFO_0008473
PGS000835,0.7962382445141066,254,319,0,0,Insulin secretion rate,EFO_0008001
PGS000836,0.7713004484304933,172,223,0,0,Fasting Insulin,EFO_0004466
PGS000837,0.7625570776255708,167,219,0,0,Insulin sensitivity index,EFO_0004471
PGS000838,0.7589285714285714,170,224,0,0,Fasting Glucose,EFO_0004465
PGS000839,0.7534246575342466,165,219,0,0,Two hour glucose during OGTT,EFO_0004307
PGS000840,0.757847533632287,169,223,0,0,Fasting Proinsulin,EFO_0010814
PGS000841,0.7950819672131147,97,122,0,0,Body mass index,EFO_0004340
PGS000842,0.8205128205128205,32,39,0,0,Waist-hip ratio,EFO_0004343
PGS000843,0.8095238095238095,51,63,0,0,WHR adjusted for BMI,EFO_0007788
PGS000844,0.806949806949807,418,518,0,0,Predicted visceral adipose tissue,EFO_0004765
PGS000845,0.7788778877887789,236,303,0,0,High density lipoprotein (HDL),EFO_0004612
PGS000846,0.8327272727272728,229,275,0,0,Low density lipoprotein (LDL),EFO_0004611
PGS000847,0.7860696517412935,158,201,0,0,Triglycerides (TG),EFO_0004530
PGS000848,0.8333333333333334,5,6,0,0,Type 2 diabetes (based on SNPs associated with adiposity),MONDO_0005148
PGS000849,1.0,3,3,0,0,Type 2 diabetes (based on SNPs associated with impaired lipids),MONDO_0005148
PGS000850,0.875,14,16,0,0,Type 2 diabetes (based on SNPs associated with insulin action),MONDO_0005148
PGS000851,0.7837837837837838,29,37,0,0,Type 2 diabetes (based on SNPs associated with insulin action/secretion),MONDO_0005148
PGS000852,0.875,7,8,0,0,Type 2 diabetes (based on SNPs associated with insulin secretion),MONDO_0005148
PGS000853,0.7142857142857143,15,21,0,0,Type 2 diabetes (based on SNPs associated with insulin secretion),MONDO_0005148
PGS000854,0.7407407407407407,20,27,0,0,Type 2 diabetes (based on SNPs associated with beta cell function),MONDO_0005148
PGS000855,0.8888888888888888,16,18,0,0,Type 2 diabetes (based on SNPs associated with lipodystrophy),MONDO_0005148
PGS000856,1.0,3,3,0,0,Type 2 diabetes (based on SNPs associated with liver lipids),MONDO_0005148
PGS000857,1.0,4,4,0,0,Type 2 diabetes (based on SNPs associated with obesity),MONDO_0005148
PGS000858,0.8333333333333334,5,6,0,0,Type 2 diabetes (based on SNPs associated with proinsulin levels),MONDO_0005148
PGS000859,0.9411764705882353,32,34,0,0,Chronic kidney disease,EFO_0003884
PGS000860,0.7936,496,625,0,0,Estimated glomerular filtration rate,EFO_0005208
PGS000861,0.7849462365591398,73,93,0,0,Urine Albumin-to-Creatinine ratio,EFO_0007778
PGS000862,0.4666666666666667,14,30,0,0,Diabetic Retinopathy,EFO_0003770
PGS000863,0.7878787878787878,260,330,0,0,Cardiovascular disease,EFO_0000319
PGS000865,0.75,3,4,0,0,Hepatic fat content,EFO_0010821
PGS000866,0.75,3,4,0,0,Hepatic fat content,EFO_0010821
PGS000867,0.3,3,10,0,0,Allergy,MONDO_0005271
PGS000868,1.0,221,221,0,0,Type II diabetes,MONDO_0005148
PGS000869,1.0,48,48,0,0,Type I diabetes,MONDO_0005147
PGS000870,1.0,18,18,0,0,Cystic fibrosis related diabetes,EFO_0009518
PGS000871,1.0,14,14,0,0,Insulin secretion,EFO_0008001
PGS000872,0.8,4,5,0,0,Non-alcoholic fatty liver disease,EFO_0003095
PGS000874,0.8048780487804879,33,41,0,0,Chronic lymphocytic leukemia,EFO_0000095
PGS000875,0.9722222222222222,35,36,0,0,Low-density lipoprotein cholesterol,EFO_0004611
PGS000876,0.8064516129032258,25,31,0,0,Alzheimer's disease,MONDO_0004975
PGS000877,1.0,53,53,0,0,Insulin resistance,EFO_0002614
PGS000878,0.25,1,4,0,0,Prostate cancer,EFO_0001663
PGS000879,1.0,146,146,0,0,Intraocular pressure,EFO_0004695
PGS000880,0.9444444444444444,17,18,0,0,Lung cancer,EFO_0001071
PGS000881,0.7222222222222222,52,72,0,0,Prostate cancer,EFO_0001663
PGS000882,0.9985255561138263,1093036,1094650,0,0,25-hydroxyvitamin D,EFO_0004631
PGS000883,1.0,1477661,1477661,0,0,Estimated glomerular filtration rate,EFO_0005208
PGS000884,1.0,40042,40042,0,0,Estimated glomerular filtration rate,EFO_0005208
PGS000885,1.0,1460,1460,0,0,Estimated glomerular filtration rate,EFO_0005208
PGS000886,1.0,1222318,1222318,0,0,Low density lipoprotein (LDL) cholesterol,EFO_0004611
PGS000887,1.0,295,295,0,0,Low density lipoprotein (LDL) cholesterol,EFO_0004611
PGS000888,0.9995682642771372,1238649,1239184,0,0,Low density lipoprotein (LDL) cholesterol,EFO_0004611
PGS000889,0.9972249972249972,8984,9009,0,0,Low density lipoprotein (LDL) cholesterol,EFO_0004611
PGS000890,1.0,1029158,1029158,0,0,Low density lipoprotein (LDL) cholesterol,EFO_0004611
PGS000891,1.0,66,66,0,0,Low density lipoprotein (LDL) cholesterol,EFO_0004611
PGS000892,1.0,1119211,1119211,0,0,Low density lipoprotein (LDL) cholesterol,EFO_0004611
PGS000893,0.9955776672194583,5403,5427,0,0,Low density lipoprotein (LDL) cholesterol,EFO_0004611
PGS000894,0.9997175898162207,1175263,1175595,0,0,Low density lipoprotein (LDL) cholesterol,EFO_0004611
PGS000895,1.0,76,76,0,0,Low density lipoprotein (LDL) cholesterol,EFO_0004611
PGS000896,0.9998145559068489,1099858,1100062,0,0,Low density lipoprotein (LDL) cholesterol,EFO_0004611
PGS000897,1.0,13,13,0,0,Low density lipoprotein (LDL) cholesterol,EFO_0004611
PGS000898,0.95,38,40,0,0,Alzheimer's disease,MONDO_0004975
PGS000899,0.9602272727272727,169,176,0,0,Coronary heart disease,EFO_0001645
PGS000900,0.9999990890076014,1097703,1097704,0,0,Systolic blood pressure (female),EFO_0006335
PGS000901,0.9999990890076014,1097703,1097704,0,0,Systolic blood pressure (male),EFO_0006335
PGS000902,0.7777777777777778,70,90,0,0,Parkinson's disease,MONDO_0005180
PGS000903,0.8321329639889197,1502,1805,0,0,Parkinson's disease,MONDO_0005180
PGS000906,1.0,330,330,0,0,Longevity,EFO_0004300
PGS000907,1.0,1773528,1773528,0,0,Major depressive disorder,MONDO_0002009
PGS000908,1.0,2746982,2746982,0,0,Insomnia,EFO_0004698
PGS000909,1.0,2862172,2862172,0,0,Headache,HP_0002315
PGS000910,1.0,735440,735440,0,0,Body mass index,EFO_0004340
PGS000911,0.9976983913224455,529711,530933,0,0,Ischemic stroke,HP_0002140
PGS000912,0.9999990890076014,1097703,1097704,0,0,Diastolic blood pressure,EFO_0006336
PGS000913,0.9999990890076014,1097703,1097704,0,0,Systolic blood pressure,EFO_0006335
PGS000914,0.8333333333333334,5,6,0,0,Abnormal electrocardiogram,HP_0003115
PGS000921,0.9983226464295781,1944444,1947711,0,0,Body mass index,EFO_0004340
PGS000922,0.8333333333333334,10,12,0,0,Sarcoidosis,MONDO_0019338
PGS000923,0.7272727272727273,16,22,0,0,Sarcoidosis (time-to-event),MONDO_0019338
PGS000924,1.0,5,5,0,0,Disorders of porphyrin and bilirubin metabolism (time-to-event),MONDO_0037821
PGS000925,0.8830845771144279,355,402,0,0,Unspecified acute lower respiratory infection (time-to-event),MONDO_0024355
PGS000926,0.9370529327610873,3930,4194,0,0,Daytime dozing / sleeping (narcolepsy),MONDO_0021107
PGS000927,0.9338842975206612,226,242,0,0,Other dermatitis (time-to-event),MONDO_0002406
PGS000928,0.9529411764705882,162,170,0,0,Other non-toxic goitre (time-to-event),MONDO_0001658
PGS000929,0.8333333333333334,5,6,0,0,All cause dementia (algorithmically-defined),MONDO_0001627
PGS000930,0.8559322033898306,101,118,0,0,Blood clot (diagnosed by doctor),MONDO_0000831
PGS000931,0.8838951310861424,472,534,0,0,Blood clot or deep vein thrombosis (diagnosed by doctor),MONDO_0000831
PGS000932,0.8828828828828829,98,111,0,0,Other intervertebral disk disorders (time-to-event),MONDO_0000812
PGS000933,0.8498845265588915,368,433,0,0,Nasal polyp (time-to-event),HP_0100582
PGS000934,0.8294573643410853,107,129,0,0,Nasal polyps,HP_0100582
PGS000935,0.9351351351351351,346,370,0,0,High blood pressure  age at diagnosis,HP_0032263
PGS000936,0.931017203941874,5574,5987,0,0,High cholesterol,HP_0003124
PGS000937,0.9385324625432193,2443,2603,0,0,Varicose veins,HP_0002619
PGS000938,0.9305501365587202,2385,2563,0,0,Varicose veins of lower extremities (time-to-event),HP_0002619
PGS000939,0.9165687426556992,2340,2553,0,0,Hiatus hernia,HP_0002036
PGS000940,0.9051918735891648,401,443,0,0,Intestinal malabsorption (time-to-event),HP_0002024
PGS000941,0.0,0,1,0,0,Iridocyclitis (time-to-event),HP_0001094
PGS000942,0.907928388746803,355,391,0,0,Cholecystitis,HP_0001082
PGS000943,1.0,5,5,0,0,Cholecystitis (time-to-event),HP_0001082
PGS000944,0.9130434782608695,546,598,0,0,Eczema  dermatitis,HP_0000964
PGS000945,0.8461538461538461,22,26,0,0,Dementia in alzheimer's disease (time-to-event),HP_0000726
PGS000946,0.8888888888888888,8,9,0,0,Unspecified dementia (time-to-event),HP_0000726
PGS000947,0.9241504854368932,1523,1648,0,0,Mouth ulcers,HP_0000155
PGS000948,0.8788836229594523,1669,1899,0,0,Inguinal hernia,HP_0000023
PGS000949,0.9085899513776338,2803,3085,0,0,Inguinal hernia (time-to-event),HP_0000023
PGS000950,0.8402366863905325,142,169,0,0,Skin changes due to chronic exposure to nonionising radiation (time-to-event),GO_0009314
PGS000951,0.9472879504914452,13011,13735,0,0,Heel Broadband ultrasound attenuation  direct entry,EFO_0004514
PGS000952,0.9484312766403465,13573,14311,0,0,Heel quantitative ultrasound index (QUI)  direct entry,EFO_0004514
PGS000953,0.9401664932362123,7228,7688,0,0,Left heel broadband ultrasound attenuation,EFO_0004514
PGS000954,0.9393874029335634,8710,9272,0,0,Left heel quantitative ultrasound index (QUI)  direct entry,EFO_0004514
PGS000955,0.9404441929551564,6648,7069,0,0,Right heel broadband ultrasound attenuation,EFO_0004514
PGS000956,0.9415744157441575,9186,9756,0,0,Right heel quantitative ultrasound index (QUI)  direct entry,EFO_0004514
PGS000957,0.948474636395885,10695,11276,0,0,Essential (primary hypertension) (time-to-event),MONDO_0001134
PGS000958,0.9471276595744681,8903,9400,0,0,Essential hypertension,MONDO_0001134
PGS000959,0.75,12,16,0,0,Connective tissue disorder,EFO_1001986
PGS000960,0.8354430379746836,66,79,0,0,Other systemic involvement of connective tissue (time-to-event),EFO_1001986
PGS000961,0.8967629046369204,1025,1143,0,0,Phlebitis and thrombophlebitis (time-to-event),EFO_1001395
PGS000962,0.9054428044280443,1963,2168,0,0,Chronic ischaemic heart disease (time-to-event),EFO_1001375
PGS000963,0.8712121212121212,230,264,0,0,Follicular cysts of skin and subcutaneous tissue (time-to-event),EFO_1001329
PGS000964,0.851063829787234,40,47,0,0,Slipped disc,EFO_1001317
PGS000965,0.9543550165380374,4328,4535,0,0,Hypothyroidism/myxoedema,EFO_1001055
PGS000966,0.0,0,1,0,0,Iritis,EFO_1000997
PGS000967,0.9053627760252366,574,634,0,0,Coxarthrosis [arthrosis of hip] (time-to-event),EFO_1000786
PGS000969,0.956747833264548,34773,36345,0,0,Sitting height,EFO_0011011
PGS000972,0.8988149498632635,986,1097,0,0,Microalbumin [> 40 mg/L],EFO_0010967
PGS000976,0.5625,9,16,0,0,JCV seropositivity for Human Polyomavirus JCV,EFO_0010907
PGS000977,0.6666666666666666,2,3,0,0,MCV seropositivity for Merkel Cell Polyomavirus,EFO_0010906
PGS000978,0.9178868791271892,3197,3483,0,0,Bread intake,EFO_0010811
PGS000980,0.9321511179645335,2418,2594,0,0,Use of sun / ultraviolet protection (always),EFO_0010729
PGS000982,0.8816827344434707,1006,1141,0,0,Use of sun / ultraviolet protection (never / rarely),EFO_0010729
PGS000984,0.9407689643228264,5432,5774,0,0,Frequency of playing computer games,EFO_0010724
PGS000987,0.9520976124124426,12641,13277,0,0,Mean reticulocyte volume,EFO_0010701
PGS000988,0.9473830734966593,6806,7184,0,0,High light scatter reticulocyte percentage,EFO_0010700
PGS000989,0.9408094704847224,5881,6251,0,0,Reticulocyte %,EFO_0010700
PGS000990,0.8607594936708861,204,237,0,0,Retinal detachments and breaks (time-to-event),EFO_0010698
PGS000991,0.9282670454545454,2614,2816,0,0,Never eat sugar,EFO_0010158
PGS000993,0.9329936305732484,3662,3925,0,0,Oily fish consumption,EFO_0010139
PGS000994,0.9285027252324463,2896,3119,0,0,Tea intake,EFO_0010091
PGS000995,0.9399205561072492,5679,6042,0,0,Dentures,EFO_0010078
PGS000996,0.8885869565217391,327,368,0,0,Diverticular disease/diverticulitis,EFO_0009959
PGS000997,0.9374674309536217,5397,5757,0,0,Diverticular disease of intestine (time-to-event),EFO_0009959
PGS000998,0.9541915175612988,23038,24144,0,0,Comparative body height at age 10,EFO_0009819
PGS000999,0.9511278195488722,12397,13034,0,0,Comparative body size at age 10,EFO_0009819
PGS001000,0.943394388152767,9683,10264,0,0,Nap during day,EFO_0009818
PGS001001,0.9474363941624693,7336,7743,0,0,Getting up in morning,EFO_0009817
PGS001002,0.9516635279347144,33352,35046,0,0,Whole body water mass,EFO_0009805
PGS001003,0.9458256029684601,7647,8085,0,0,Number of medications taken,EFO_0009803
PGS001004,0.9409056024558711,4904,5212,0,0,Number of non-cancer illnesses,EFO_0009801
PGS001005,0.9049429657794676,476,526,0,0,Number of self reported cancers,EFO_0009800
PGS001006,0.9370735405610311,2472,2638,0,0,Weight change compared with 1 year ago,EFO_0009799
PGS001007,0.9449834950485145,9447,9997,0,0,Age at first sexual intercourse,EFO_0009749
PGS001008,0.9458142201834863,9897,10464,0,0,Overall health rating,EFO_0009724
PGS001009,0.9426651265357555,8977,9523,0,0,PEF,EFO_0009718
PGS001010,0.9524281466798811,14415,15135,0,0,PEF pred. ratio,EFO_0009718
PGS001011,0.6,3,5,0,0,Viral warts (time-to-event),EFO_0009662
PGS001012,0.9229671897289586,1941,2103,0,0,Number of falls in the last year,EFO_0009631
PGS001013,0.7735849056603774,41,53,0,0,Macular degeneration,EFO_0009606
PGS001014,0.8115942028985508,56,69,0,0,Other disorders of pancreatic internal secretion (time-to-event),EFO_0009605
PGS001015,0.7683741648106904,345,449,0,0,Enlarged prostate,EFO_0009602
PGS001016,0.9400403938399394,7447,7922,0,0,Sensitivity / hurt feelings,EFO_0009599
PGS001017,0.931899641577061,3120,3348,0,0,Suffer from 'nerves',EFO_0009597
PGS001018,0.9278846153846154,2702,2912,0,0,Attending social / leisure activities (attend any of the followings in once a week or more often: sports club  gym  pub  social club  religious group  adult edication class  or other group activity),EFO_0009592
PGS001019,0.9470997271366958,10760,11361,0,0,Attending social / leisure activities (regular attendance at a gym or sports club),EFO_0009592
PGS001020,0.9363636363636364,206,220,0,0,Attending social / leisure activities (regular attendance at an adult education class),EFO_0009592
PGS001021,0.9436749769159741,9198,9747,0,0,Feelings of worry or anxiety,EFO_0009589
PGS001022,0.9412756028001037,7261,7714,0,0,Worry too long after an embarrassing experience,EFO_0009589
PGS001023,1.0,2,2,0,0,Disorders of mineral metabolism (time-to-event),EFO_0009556
PGS001024,0.8994910941475827,707,786,0,0,Hemorrhoid,EFO_0009552
PGS001025,0.7222222222222222,26,36,0,0,Nonrheumatic aortic valve disorders (time-to-event),EFO_0009531
PGS001026,0.8888888888888888,40,45,0,0,Forearm or wrist fracture,EFO_0009514
PGS001027,0.847457627118644,100,118,0,0,Internal derangement of knee (time-to-event),EFO_0009507
PGS001028,0.7886178861788617,97,123,0,0,Diabetic eye disease,EFO_0009486
PGS001029,0.8636363636363636,19,22,0,0,Other disorders of cornea (time-to-event),EFO_0009464
PGS001030,0.8235294117647058,42,51,0,0,Pulmonary fibrosis,EFO_0009448
PGS001031,0.8333333333333334,210,252,0,0,Fibroblastic disorders (time-to-event),EFO_0009432
PGS001032,0.9440993788819876,152,161,0,0,Uterine fibroids,EFO_0000731
PGS001033,1.0,1,1,0,0,Other coagulation defects (time-to-event),EFO_0009314
PGS001034,0.9452713877612389,6287,6651,0,0,Salt added to food,EFO_0008111
PGS001036,0.8157894736842105,31,38,0,0,Epstein Barr virus nuclear antigen 1 IgG seropositivity,EFO_0009271
PGS001037,0.9483577917540181,13571,14310,0,0,Heel bone mineral density (BMD) T-score  automated,EFO_0009270
PGS001038,0.9394070080862533,8713,9275,0,0,Left heel bone mineral density (BMD) T-score  automated,EFO_0009270
PGS001039,0.9416589767251102,9184,9753,0,0,Right heel bone mineral density (BMD) T-score  automated,EFO_0009270
PGS001040,0.922360248447205,1485,1610,0,0,Non melanoma skin cancer,EFO_0009260
PGS001041,0.9137134052388289,1186,1298,0,0,Skin cancer,EFO_0009259
PGS001042,0.9292035398230089,210,226,0,0,Thyrotoxicosis [hyperthyroidism] (time-to-event),EFO_0009190
PGS001043,0.8695652173913043,60,69,0,0,Hyperthyroidism  thyrotoxicosis,EFO_0009189
PGS001044,0.8981481481481481,291,324,0,0,Glucosamine intake,EFO_0009116
PGS001045,0.6,3,5,0,0,Vitamin B9 intake,EFO_0009116
PGS001046,0.9398605932890258,5798,6169,0,0,Past tobacco smoking (Smoked at least once),EFO_0009115
PGS001047,0.9251670378619153,2077,2245,0,0,Past tobacco smoking (Smoked occasionally),EFO_0009115
PGS001048,0.8544395924308588,587,687,0,0,NSTEMI (algorithmically-defined),EFO_0008586
PGS001049,0.9339381251453827,4015,4299,0,0,Risk taking behaviour,EFO_0008579
PGS001050,0.9283791060850834,1724,1857,0,0,Diaphragmatic hernia (time-to-event),EFO_0008561
PGS001051,0.8115942028985508,56,69,0,0,Polymyalgia rheumatica,EFO_0008518
PGS001052,0.9319908143437555,5276,5661,0,0,Time spend outdoors in summer,EFO_0600081
PGS001053,0.9065863108049935,2106,2323,0,0,Time spend outdoors in winter,EFO_0600081
PGS001054,0.9337113541244768,6916,7407,0,0,Snoring,EFO_0008341
PGS001055,0.9481099054952747,10835,11428,0,0,Chronotype (morning/evening person),EFO_0008328
PGS001056,0.9273461150353178,919,991,0,0,Beef intake,EFO_0008111
PGS001057,0.9416222859483818,4597,4882,0,0,Cereal consumption,EFO_0008111
PGS001058,0.8698630136986302,127,146,0,0,Cereal consumption (biscuit cereal),EFO_0008111
PGS001059,0.9175738724727839,1180,1286,0,0,Cereal consumption (other),EFO_0008111
PGS001060,0.9462413896376161,6319,6678,0,0,Cheese intake,EFO_0008111
PGS001061,0.8940092165898618,970,1085,0,0,Cooked vegetable consumption,EFO_0008111
PGS001062,0.9372797744890768,3990,4257,0,0,Fresh fruit intake,EFO_0008111
PGS001063,0.8821917808219178,644,730,0,0,Major dietary changes in the last 5 years due to illness,EFO_0008111
PGS001064,0.8879310344827587,103,116,0,0,Milk consumption (skimmed),EFO_0008111
PGS001065,0.6,3,5,0,0,Never eat wheat,EFO_0008111
PGS001066,0.9266625233064015,1491,1609,0,0,Poultry intake,EFO_0008111
PGS001067,0.9198635976129582,2158,2346,0,0,Processed meat intake,EFO_0008111
PGS001068,0.9201773835920177,1245,1353,0,0,Variation in diet,EFO_0008111
PGS001069,0.9377252703243892,4683,4994,0,0,Water intake,EFO_0008111
PGS001070,0.8977272727272727,790,880,0,0,Volume of ventricular cerebrospinal fluid (normalised for head size),EFO_0008080
PGS001071,0.9404305514597464,6378,6782,0,0,Facial aging  looking 'about your age',EFO_0008006
PGS001072,0.7692307692307693,30,39,0,0,Facial aging  looking 'older than you are',EFO_0008006
PGS001073,0.9130763416477702,1208,1323,0,0,Duration of walks,EFO_0008002
PGS001074,0.9342173686947478,3593,3846,0,0,Types of physical activity in last 4 weeks (other exercises),EFO_0008002
PGS001075,0.9417385534173855,7096,7535,0,0,Usual walking pace,EFO_0008002
PGS001076,0.9498527421794157,11933,12563,0,0,Eosinophill %,EFO_0007991
PGS001077,0.9519813179595709,13045,13703,0,0,Neutrophill %,EFO_0007990
PGS001078,0.9464734078977403,8293,8762,0,0,Monocyte %,EFO_0007989
PGS001079,0.9500372063357074,17874,18814,0,0,Platelet distribution width,EFO_0007984
PGS001080,0.9444047193421523,5283,5594,0,0,Freq. of tiredness / lethargy in last 2 weeks,EFO_0007946
PGS001081,0.7777777777777778,7,9,0,0,JC VP1 antigen for Human Polyomavirus JCV,EFO_0007937
PGS001082,0.8811188811188811,126,143,0,0,MC VP1 antigen for Merkel Cell Polyomavirus,EFO_0007937
PGS001085,0.8925233644859814,191,214,0,0,Increased alcohol consumption  versus 10 years ago,EFO_0007878
PGS001086,0.8949416342412452,920,1028,0,0,Alcohol consumption,EFO_0007878
PGS001087,0.9412187238118042,7862,8353,0,0,Alcohol intake frequency,EFO_0007878
PGS001088,0.8874032371569317,2522,2842,0,0,Average weekly alcohol consumption (beer and cider),EFO_0007878
PGS001090,0.9389808074123097,7094,7555,0,0,Often felt loved as a child,EFO_0007869
PGS001091,0.8863636363636364,585,660,0,0,Loneliness,EFO_0007865
PGS001092,0.8872043662825955,1463,1649,0,0,Hair colour  black,EFO_0007822
PGS001093,0.9493543758967001,6617,6970,0,0,Hair colour  blonde,EFO_0007822
PGS001094,0.9343936381709742,3760,4024,0,0,Hair colour  brown,EFO_0007822
PGS001095,0.9429530201342282,5339,5662,0,0,Hair colour  dark brown,EFO_0007822
PGS001096,0.927127409496944,1972,2127,0,0,Hair colour  light brown,EFO_0007822
PGS001097,0.7619047619047619,16,21,0,0,Hair colour  other,EFO_0007822
PGS001098,0.9222702035780382,1495,1621,0,0,Hair colour  red,EFO_0007822
PGS001099,0.9472812170507606,6289,6639,0,0,Spherical power (left eye),EFO_0007814
PGS001100,0.9519727891156463,6997,7350,0,0,Spherical power (right eye),EFO_0007814
PGS001101,0.955905971674697,26188,27396,0,0,Body fat percentage,EFO_0007800
PGS001102,0.9602232248872002,24261,25266,0,0,Body fat percentage (left arm),EFO_0007800
PGS001103,0.9553209639582001,26877,28134,0,0,Body fat percentage (left leg),EFO_0007800
PGS001104,0.9545147889074317,26882,28163,0,0,Body fat percentage (right leg),EFO_0007800
PGS001105,0.9560640910685744,24524,25651,0,0,Body fat percentage (trunk fat),EFO_0007800
PGS001106,0.9632042768241239,23062,23943,0,0,Percentage of right arm fat,EFO_0007800
PGS001107,0.8932692307692308,929,1040,0,0,UACR [> 30 mg/g],EFO_0007778
PGS001108,0.9511724824283138,30584,32154,0,0,Basal metabolic rate,EFO_0007777
PGS001109,0.9193717277486911,1756,1910,0,0,Vasomotor and allergic rhinitis (time-to-event),EFO_0007533
PGS001110,0.6666666666666666,4,6,0,0,Reactive arthropathies (time-to-event),EFO_0007460
PGS001111,0.7156549520766773,224,313,0,0,Male genital tract cancer,EFO_0007355
PGS001112,0.875751503006012,437,499,0,0,Aspirin,EFO_0007013
PGS001113,0.8873417721518987,701,790,0,0,Aspirin use self-reported,EFO_0007013
PGS001114,0.9069212410501193,380,419,0,0,Ibuprofen use self-reported,EFO_0007012
PGS001115,0.9420072758399315,4402,4673,0,0,Paracetamol use self-reported,EFO_0007012
PGS001116,0.9080459770114943,158,174,0,0,Ibuprofen (e.g. Nurofen),EFO_0007012
PGS001117,0.8088235294117647,55,68,0,0,Started insulin within one year diagnosis of diabetes,EFO_0600082
PGS001118,0.9279523293607801,1713,1846,0,0,Taking other prescription medications,EFO_0007010
PGS001119,0.9415268395438368,12962,13767,0,0,Left hand grip strength,EFO_0006941
PGS001120,0.9417905726036064,11908,12644,0,0,Right hand grip strength,EFO_0006941
PGS001123,0.7708333333333334,37,48,0,0,Coffee consumption,EFO_0006781
PGS001124,0.9387249845265112,9100,9694,0,0,Coffee consumption (ground coffee),EFO_0006781
PGS001125,0.8726851851851852,377,432,0,0,Coffee consumption (instant coffee),EFO_0006781
PGS001126,0.9286620164870006,2929,3154,0,0,Coffee intake,EFO_0006781
PGS001127,0.9479285134037368,11669,12310,0,0,Never Smoker,EFO_0006527
PGS001128,0.9381324747010119,4079,4348,0,0,Previous Smoker,EFO_0006527
