Polygenic Score (PGS) ID,PGS Name,Reported Trait,Mapped Trait(s) (EFO label),Mapped Trait(s) (EFO ID),PGS Development Method,PGS Development Details/Relevant Parameters,Original Genome Build,Number of Variants,Number of Interaction Terms,Type of Variant Weight,PGS Publication (PGP) ID,Publication (PMID),Publication (doi),Score and results match the original publication,Ancestry Distribution (%) - Source of Variant Associations (GWAS),Ancestry Distribution (%) - Score Development/Training,Ancestry Distribution (%) - PGS Evaluation,FTP link,Release Date,License/Terms of Use
PGS001285,GBE_BIN_FC5006152,"Allergic disease (hay fever, rhinitis, or eczema) (diagnosed by doctor)",allergic disease,MONDO_0005271,snpnet,,GRCh37,7313,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001285/ScoringFiles/PGS001285.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001286,GBE_BIN22126,Allergic disease (hay fever or allergic rhinitis) (diagnosed by doctor),allergic disease,MONDO_0005271,snpnet,,GRCh37,466,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001286/ScoringFiles/PGS001286.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001287,GBE_HC91,Psoriatic arthropathy,psoriatic arthritis,EFO_0003778,snpnet,,GRCh37,36,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001287/ScoringFiles/PGS001287.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001288,GBE_HC95,Inflammatory bowel disease,inflammatory bowel disease,EFO_0003767,snpnet,,GRCh37,195,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001288/ScoringFiles/PGS001288.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001289,GBE_cancer1065,Thyroid cancer,thyroid carcinoma,EFO_0002892,snpnet,,GRCh37,11,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001289/ScoringFiles/PGS001289.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001290,GBE_HC376,Osteoarthritis,osteoarthritis,MONDO_0005178,snpnet,,GRCh37,579,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001290/ScoringFiles/PGS001290.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001291,GBE_cancer1044,Prostate cancer,prostate carcinoma,EFO_0001663,snpnet,,GRCh37,948,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001291/ScoringFiles/PGS001291.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001292,GBE_FH1044,Family history of prostate cancer,family history of prostate cancer,EFO_0600083,snpnet,,GRCh37,602,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001292/ScoringFiles/PGS001292.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001293,GBE_HC1123,Other diseases of liver (time-to-event),liver disease,EFO_0001421,snpnet,,GRCh37,92,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001293/ScoringFiles/PGS001293.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001294,GBE_HC649,Non-insulin-dependent diabetes (time-to-event),type 2 diabetes mellitus,MONDO_0005148,snpnet,,GRCh37,3496,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001294/ScoringFiles/PGS001294.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001295,GBE_HC165,Type 2 diabetes,type 2 diabetes mellitus,MONDO_0005148,snpnet,,GRCh37,385,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001295/ScoringFiles/PGS001295.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001296,GBE_HC648,Insulin-dependent diabetes mellitus (time-to-event),type 1 diabetes mellitus,MONDO_0005147,snpnet,,GRCh37,356,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001296/ScoringFiles/PGS001296.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001297,GBE_HC337,Type 1 diabetes,type 1 diabetes mellitus,MONDO_0005147,snpnet,,GRCh37,69,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:50|African:25|South Asian:25,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001297/ScoringFiles/PGS001297.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001298,GBE_HC689,Obesity (time-to-event),obesity,EFO_0001073,snpnet,,GRCh37,9227,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001298/ScoringFiles/PGS001298.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001299,GBE_cancer1041,Cervical cancer,cervical carcinoma,EFO_0001061,snpnet,,GRCh37,24,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001299/ScoringFiles/PGS001299.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001300,GBE_BIN21068,"Celiac disease or gluten sensitivity, diagnosed",celiac disease,EFO_0001060,snpnet,,GRCh37,9,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:50|African:25|South Asian:25,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001300/ScoringFiles/PGS001300.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001301,GBE_HC303,Malabsorption/coeliac disease,celiac disease,EFO_0001060,snpnet,,GRCh37,428,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:50|African:25|South Asian:25,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001301/ScoringFiles/PGS001301.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001302,GBE_HC25,Cataract,cataract,MONDO_0005129,snpnet,,GRCh37,1214,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001302/ScoringFiles/PGS001302.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001303,GBE_HC872,Other cataract (time-to-event),cataract,MONDO_0005129,snpnet,,GRCh37,480,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001303/ScoringFiles/PGS001303.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001304,GBE_cancer1059,Melanoma (malignant),melanoma,EFO_0000756,snpnet,,GRCh37,116,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001304/ScoringFiles/PGS001304.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001305,GBE_HC608,Vitamin b12 deficiency induced anemia (time-to-event),vitamin B12 deficiency|anemia,EFO_0000734|MONDO_0002280,snpnet,,GRCh37,121,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:50|African:25|South Asian:25,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001305/ScoringFiles/PGS001305.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001306,GBE_HC201,Ulcerative colitis,ulcerative colitis,EFO_0000729,snpnet,,GRCh37,179,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001306/ScoringFiles/PGS001306.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001307,GBE_HC1102,Ulcerative colitis (time-to-event),ulcerative colitis,EFO_0000729,snpnet,,GRCh37,809,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001307/ScoringFiles/PGS001307.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001308,GBE_HC321,Sjogren's syndrome/sicca syndrome,Sjogren syndrome,EFO_0000699,snpnet,,GRCh37,7,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001308/ScoringFiles/PGS001308.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001309,GBE_HC1212,Other rheumatoid arthritis (time-to-event),rheumatoid arthritis,EFO_0000685,snpnet,,GRCh37,323,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001309/ScoringFiles/PGS001309.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001310,GBE_HC430,Rheumatoid arthritis,rheumatoid arthritis,EFO_0000685,snpnet,,GRCh37,175,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001310/ScoringFiles/PGS001310.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001311,GBE_HC1211,Seropositive rheumatoid arthritis (time-to-event),rheumatoid arthritis,EFO_0000685,snpnet,,GRCh37,3,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:50|African:25|South Asian:25,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001311/ScoringFiles/PGS001311.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001312,GBE_HC38,Psoriasis,psoriasis,EFO_0000676,snpnet,,GRCh37,204,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001312/ScoringFiles/PGS001312.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001313,GBE_HC1159,Psoriasis (time-to-event),psoriasis,EFO_0000676,snpnet,,GRCh37,578,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001313/ScoringFiles/PGS001313.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001314,GBE_HC938,Acute myocardial infarction (time-to-event),myocardial infarction,EFO_0000612,snpnet,,GRCh37,1108,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001314/ScoringFiles/PGS001314.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001315,GBE_HC326,Myocardial infarction,myocardial infarction,EFO_0000612,snpnet,,GRCh37,1788,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001315/ScoringFiles/PGS001315.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001316,GBE_HC1574,Myocardial infarction (algorithmically-defined),myocardial infarction,EFO_0000612,snpnet,,GRCh37,1831,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001316/ScoringFiles/PGS001316.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001317,GBE_BIN_FC1006150,Vascular/heart problems diagnosed by doctor Heart attack,myocardial infarction,EFO_0000612,snpnet,,GRCh37,1030,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001317/ScoringFiles/PGS001317.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001318,GBE_HC700,Disorders of lipoprotein metabolism and other lipidaemias (time-to-event),metabolic disease,EFO_0000589,snpnet,,GRCh37,7845,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001318/ScoringFiles/PGS001318.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001319,GBE_HC708,Other metabolic disorders (time-to-event),metabolic disease,EFO_0000589,snpnet,,GRCh37,2,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:50|African:25|South Asian:25,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001319/ScoringFiles/PGS001319.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001320,GBE_HC215,Hypertension,hypertension,EFO_0000537,snpnet,,GRCh37,13791,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001320/ScoringFiles/PGS001320.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001321,GBE_BIN_FC2006148,Eye problems/disorders (Glaucoma),glaucoma,MONDO_0005041,snpnet,,GRCh37,1103,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001321/ScoringFiles/PGS001321.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001322,GBE_HC276,Glaucoma,glaucoma,MONDO_0005041,snpnet,,GRCh37,655,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001322/ScoringFiles/PGS001322.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001323,GBE_HC882,Glaucoma (time-to-event),glaucoma,MONDO_0005041,snpnet,,GRCh37,2066,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001323/ScoringFiles/PGS001323.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001324,GBE_FH1065,Family history of high blood pressure,family history,EFO_0000493,snpnet,,GRCh37,13862,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001324/ScoringFiles/PGS001324.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001326,GBE_HC431,Emphysema,emphysema,EFO_0000464,snpnet,,GRCh37,42,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001326/ScoringFiles/PGS001326.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001327,GBE_HC221,Diabetes,diabetes mellitus,EFO_0000400,snpnet,,GRCh37,4053,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001327/ScoringFiles/PGS001327.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001328,GBE_FH1220,Family history of diabetes,family history,EFO_0000493,snpnet,,GRCh37,2515,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001328/ScoringFiles/PGS001328.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001329,GBE_HC652,Unspecified diabetes mellitus (time-to-event),diabetes mellitus,EFO_0000400,snpnet,,GRCh37,2270,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001329/ScoringFiles/PGS001329.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001330,GBE_HC1101,Crohn's disease [regional enteritis] (time-to-event),Crohn's disease,EFO_0000384,snpnet,,GRCh37,220,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001330/ScoringFiles/PGS001330.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001331,GBE_HC322,Crohns disease,Crohn's disease,EFO_0000384,snpnet,,GRCh37,257,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:50|African:25|South Asian:25,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001331/ScoringFiles/PGS001331.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001332,GBE_HC442,Chronic obstructive pulmonary disease,chronic obstructive pulmonary disease,EFO_0000341,snpnet,,GRCh37,482,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001332/ScoringFiles/PGS001332.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001333,GBE_HC1582,Chronic obstructive pulmonary disease (algorithmically-defined),chronic obstructive pulmonary disease,EFO_0000341,snpnet,,GRCh37,569,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001333/ScoringFiles/PGS001333.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001334,GBE_HC1035,Other chronic obstructive pulmonary disease (time-to-event),chronic obstructive pulmonary disease,EFO_0000341,snpnet,,GRCh37,498,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001334/ScoringFiles/PGS001334.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001335,GBE_BIN_FC4006150,Vascular/heart problems diagnosed by doctor High BP,cardiovascular disease,EFO_0000319,snpnet,,GRCh37,14076,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001335/ScoringFiles/PGS001335.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS001336,GBE_cancer1002,Breast cancer,breast carcinoma,EFO_0000305,snpnet,,GRCh37,555,0,NR,PGP000244,35324888,10.1371/journal.pgen.1010105,True,,European:100,European:40|African:20|East Asian:20|South Asian:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001336/ScoringFiles/PGS001336.txt.gz,2021-10-21,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
